T,S
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,0
0.54,0
0.56,0
0.58,0
0.6,0
0.62,0
0.64,0
0.66,0
0.68,0
0.7,0
0.72,0
0.74,0
0.76,0
0.78,0
0.8,0
0.82,0
0.84,0
0.86,0
0.88,0
0.9,0
0.92,0
0.94,0
0.96,0
0.98,0
1,0
1.02,0
1.04,0
1.06,0
1.08,0
1.1,0
1.12,0
1.14,0
1.16,0
1.18,0
1.2,0
1.22,0
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
1.62,0
1.64,0
1.66,0
1.68,0
1.7,0
1.72,0
1.74,0
1.76,0
1.78,0
1.8,0
1.82,0
1.84,0
1.86,0
1.88,0
1.9,0
1.92,0
1.94,0
1.96,0
1.98,0
2,1
2.02,1
2.04,1
2.06,1
2.08,1
2.1,1
2.12,1
2.14,1
2.16,1
2.18,1
2.2,1
2.22,1
2.24,1
2.26,1
2.28,1
2.3,1
2.32,1
2.34,1
2.36,1
2.38,1
2.4,1
2.42,1
2.44,1
2.46,1
2.48,1
2.5,1
2.52,1
2.54,1
2.56,1
2.58,1
2.6,1
2.62,1
2.64,1
2.66,1
2.68,1
2.7,1
2.72,1
2.74,1
2.76,1
2.78,1
2.8,1
2.82,1
2.84,1
2.86,1
2.88,1
2.9,1
2.92,1
2.94,1
2.96,1
2.98,1
3,1
3.02,1
3.04,1
3.06,1
3.08,1
3.1,1
3.12,1
3.14,1
3.16,1
3.18,1
3.2,1
3.22,1
3.24,1
3.26,1
3.28,1
3.3,1
3.32,1
3.34,1
3.36,1
3.38,1
3.4,1
3.42,1
3.44,1
3.46,1
3.48,1
3.5,1
3.52,1
3.54,1
3.56,1
3.58,1
3.6,1
3.62,1
3.64,1
3.66,1
3.68,1
3.7,1
3.72,1
3.74,1
3.76,1
3.78,1
3.8,1
3.82,1
3.84,1
3.86,1
3.88,1
3.9,1
3.92,1
3.94,1
3.96,1
3.98,1
4,1
4.02,1
4.04,1
4.06,1
4.08,1
4.1,1
4.12,1
4.14,1
4.16,1
4.18,1
4.2,1
4.22,1
4.24,1
4.26,1
4.28,1
4.3,1
4.32,1
4.34,1
4.36,1
4.38,1
4.4,1
4.42,1
4.44,1
4.46,1
4.48,1
4.5,1
4.52,1
4.54,1
4.56,1
4.58,1
4.6,1
4.62,1
4.64,1
4.66,1
4.68,1
4.7,1
4.72,1
4.74,1
4.76,1
4.78,1
4.8,1
4.82,1
4.84,1
4.86,1
4.88,1
4.9,1
4.92,1
4.94,1
4.96,1
4.98,1
5,1
5.02,1
5.04,1
5.06,1
5.08,1
5.1,1
5.12,1
5.14,1
5.16,1
5.18,1
5.2,1
5.22,1
5.24,1
5.26,1
5.28,1
5.3,1
5.32,1
5.34,1
5.36,1
5.38,1
5.4,1
5.42,1
5.44,1
5.46,1
5.48,1
5.5,1
5.52,1
5.54,1
5.56,1
5.58,1
5.6,1
5.62,1
5.64,1
5.66,1
5.68,1
5.7,1
5.72,1
5.74,1
5.76,1
5.78,1
5.8,1
5.82,1
5.84,1
5.86,1
5.88,1
5.9,1
5.92,1
5.94,1
5.96,1
5.98,1
6,1
6.02,1
6.04,1
6.06,1
6.08,1
6.1,1
6.12,1
6.14,1
6.16,1
6.18,1
6.2,1
6.22,1
6.24,1
6.26,1
6.28,1
6.3,1
6.32,1
6.34,1
6.36,1
6.38,1
6.4,1
6.42,1
6.44,1
6.46,1
6.48,1
6.5,1
6.52,1
6.54,1
6.56,1
6.58,1
6.6,1
6.62,1
6.64,1
6.66,1
6.68,1
6.7,1
6.72,1
6.74,1
6.76,1
6.78,1
6.8,1
6.82,1
6.84,1
