T,R,L
0,1,1
0.02,1,1
0.04,1,1
0.06,1,1
0.08,1,1
0.1,1,1
0.12,1,1
0.14,1,1
0.16,1,1
0.18,1,1
0.2,1,1
0.22,1,1
0.24,1,1
0.26,1,1
0.28,1,1
0.3,1,1
0.32,1,1
0.34,1,1
0.36,1,1
0.38,1,1
0.4,1,1
0.42,1,1
0.44,1,1
0.46,1,1
0.48,1,1
0.5,1,1
0.52,1,1
0.54,1,1
0.56,1,1
0.58,1,1
0.6,1,1
0.62,1,1
0.64,1,1
0.66,1,1
0.68,1,1
0.7,1,1
0.72,1,1
0.74,1,1
0.76,1,1
0.78,1,0
0.8,1,0
0.82,1,0
0.84,1,0
0.86,1,0
0.88,1,0
0.9,1,0
0.92,1,0
0.94,1,0
0.96,1,0
0.98,1,0
1,1,0
1.02,1,1
1.04,1,1
1.06,1,1
1.08,1,1
1.1,1,1
1.12,1,1
1.14,1,1
1.16,1,1
1.18,1,1
1.2,1,1
1.22,1,1
1.24,1,1
1.26,1,1
1.28,0,1
1.3,0,1
1.32,0,1
1.34,0,1
1.36,0,1
1.38,0,1
1.4,0,1
1.42,0,1
1.44,0,1
1.46,0,1
1.48,0,1
1.5,0,1
1.52,0,1
1.54,0,1
1.56,0,1
1.58,0,1
1.6,0,1
1.62,0,1
1.64,0,1
1.66,1,1
1.68,1,1
1.7,1,1
1.72,1,1
1.74,1,1
1.76,1,1
1.78,1,1
1.8,1,1
1.82,1,1
1.84,1,1
1.86,1,0
1.88,1,0
1.9,1,0
1.92,1,0
1.94,1,0
1.96,1,0
1.98,1,0
2,1,0
2.02,1,0
2.04,1,0
2.06,1,0
2.08,1,0
2.1,1,0
2.12,1,0
2.14,1,0
2.16,1,0
2.18,1,0
2.2,1,0
2.22,1,0
2.24,1,1
2.26,1,1
2.28,0,1
2.3,0,1
2.32,0,1
2.34,0,1
2.36,0,1
2.38,0,1
2.4,0,1
2.42,0,1
2.44,0,1
2.46,0,1
2.48,0,1
2.5,0,1
2.52,0,1
2.54,0,1
2.56,0,1
2.58,0,1
2.6,0,1
2.62,0,1
2.64,0,1
2.66,0,1
2.68,0,1
2.7,0,1
2.72,0,1
2.74,0,1
2.76,0,1
2.78,0,1
2.8,0,1
2.82,0,1
2.84,0,1
2.86,0,1
2.88,1,1
2.9,1,1
2.92,1,1
2.94,1,1
2.96,1,1
2.98,1,0
3,1,0
3.02,1,0
3.04,1,0
3.06,1,0
3.08,1,0
3.1,1,0
3.12,1,0
3.14,1,0
3.16,1,0
3.18,1,0
3.2,0,0
3.22,0,0
3.24,0,0
3.26,0,0
3.28,0,0
3.3,0,0
3.32,0,0
3.34,0,0
3.36,0,0
3.38,0,0
3.4,0,0
3.42,0,0
3.44,0,0
3.46,0,0
3.48,0,0
3.5,0,0
3.52,0,1
3.54,0,1
3.56,0,0
3.58,0,0
3.6,0,0
3.62,0,0
3.64,0,0
3.66,0,0
3.68,0,0
3.7,0,0
3.72,0,0
3.74,0,0
3.76,0,0
3.78,0,0
3.8,0,0
3.82,0,0
3.84,0,0
3.86,0,0
3.88,0,0
3.9,0,0
3.92,0,0
3.94,0,0
3.96,0,0
3.98,0,0
4,0,0
4.02,0,0
4.04,0,0
4.06,0,0
4.08,0,0
4.1,0,0
4.12,0,0
4.14,0,0
4.16,0,0
4.18,0,0
4.2,0,0
4.22,0,0
4.24,0,0
4.26,0,0
4.28,0,0
4.3,0,0
4.32,0,0
4.34,0,0
4.36,0,0
4.38,0,0
4.4,0,0
4.42,0,0
4.44,0,0
4.46,0,0
4.48,0,0
4.5,0,0
4.52,0,0
4.54,0,0
4.56,0,0
4.58,0,0
4.6,0,0
4.62,0,0
4.64,0,0
4.66,0,0
4.68,0,0
4.7,0,0
4.72,0,0
4.74,0,0
4.76,0,0
4.78,0,0
4.8,0,0
4.82,0,0
4.84,0,0
4.86,0,0
4.88,0,0
4.9,0,0
4.92,0,0
4.94,0,0
4.96,0,0
4.98,0,0
5,0,0
5.02,0,0
5.04,0,0
5.06,0,0
5.08,0,0
5.1,0,0
5.12,0,0
5.14,0,0
5.16,0,0
5.18,0,0
5.2,0,0
5.22,0,0
5.24,0,0
5.26,0,0
5.28,0,0
5.3,0,0
5.32,0,0
5.34,0,0
5.36,0,0
5.38,0,0
5.4,0,0
5.42,0,0
5.44,0,0
5.46,0,0
5.48,0,0
5.5,0,0
5.52,0,0
5.54,0,0
5.56,0,0
5.58,0,0
5.6,0,0
5.62,0,0
5.64,0,0
5.66,0,0
5.68,0,0
5.7,0,0
5.72,0,0
5.74,0,0
5.76,0,0
5.78,0,0
5.8,0,0
5.82,0,0
5.84,0,0
5.86,0,0
5.88,0,0
5.9,0,0
5.92,0,0
5.94,0,0
5.96,0,0
5.98,0,1
6,0,1
6.02,0,1
6.04,0,1
6.06,0,1
6.08,0,1
6.1,0,1
6.12,0,1
6.14,0,1
6.16,0,1
6.18,0,1
6.2,0,1
6.22,0,1
6.24,0,1
6.26,0,1
6.28,0,1
6.3,0,1
6.32,0,1
6.34,0,1
6.36,0,1
6.38,0,1
6.4,0,1
6.42,0,1
6.44,0,1
6.46,0,1
6.48,0,1
6.5,0,1
6.52,1,1
6.54,1,1
6.56,1,1
6.58,1,1
6.6,1,1
